#	h	b	tw	tf	r	u	A	P	Iy	Wy	Wpl,y	iy	Iz	Wz	Wpl,z	iz
#	mm	mm	mm	mm	mm	mm	cm2	kg/m	cm4	cm3	cm3	cm	cm4	cm3	cm3	cm
HEM-200	220	206	15	25	18	1203	131.3	103	10640	967.4	1135	9	3651	354.5	543.2	5.27
HEM-220	240	226	15.5	26	18	1322	149.4	117	14600	1217	1419	9.89	5012	443.5	678.6	5.79
HEM-240	270	248	18	32	21	1460	199.6	157	24290	1799	2117	11.03	8153	657.5	1006	6.39
HEM-260	290	268	18	32.5	24	1575	219.6	172	31310	2159	2524	11.94	10450	779.7	1192	6.9
HEM-280	310	288	18.5	33	24	1694	240.2	189	39550	2551	2966	12.83	13160	914.1	1397	7.4
HEM-300	340	310	21	39	27	1832	303.1	238	59200	3482	4078	13.98	19400	1252	1913	8
HEM-320	359	309	21	40	27	1866	312	245	68130	3796	4435	14.78	19710	1276	1951	7.95
HEM-340	377	309	21	40	27	1902	315.8	248	76370	4052	4718	15.55	19710	1276	1953	7.9
HEM-360	395	308	21	40	27	1934	318.8	250	84870	4297	4989	16.32	19520	1268	1942	7.83
HEM-400	432	307	21	40	27	2004	325.8	256	104100	4820	5571	17.88	19340	1260	1934	7.7
HEM-450	478	307	21	40	27	2096	335.4	263	131500	5501	6331	19.8	19340	1260	1939	7.59
HEM-500	524	306	21	40	27	2184	344.3	270	161900	6180	7094	21.69	19150	1252	1932	7.46
HEM-550	572	306	21	40	27	2280	354.4	278	198000	6923	7933	23.64	19160	1252	1937	7.35
HEM-600	620	305	21	40	27	2372	363.7	285	237400	7660	8772	25.55	18980	1244	1930	7.22
UPN-80	80	45	6	8	4	312	11	8.64	106	26.5	31.8	3.1	19.4	6.36	12.1	1.33
UPN-100	100	50	6	8.5	4.5	372	13.5	10.6	206	41.2	49	3.91	29.3	8.49	16.2	1.47
UPN-120	120	55	7	9	4.5	434	17	13.4	364	60.7	72.6	4.62	43.2	11.1	21.2	1.59
